brand,model,release_year,ram_gb,storage_gb,screen_size_inches,battery_capacity,processor_score,camera_score,os_type,has_5g,original_price,purchase_year,age_months,usage_hours_per_day,condition,battery_health,screen_cracked,body_damage,repair_history,water_damage,city_tier,seller_type,warranty_remaining_months,box_available,charger_available,market_demand_score,resale_price
OnePlus,Nord 3,2025,16,512,6.18,5731,89,73,Android,0,55210,2025,10,1.8,Fair,69,0,0,0,0,Tier2,Store,6,1,1,97,24878.51
Google,Pixel 6,2020,6,128,5.84,4382,53,46,Android,1,47629,2024,38,7.8,Poor,95,0,0,0,0,Tier2,Store,0,1,1,65,9355.49
Apple,iPhone 11,2020,8,256,6.84,4227,72,50,iOS,1,145353,2022,17,9.5,Good,98,0,0,0,0,Tier1,Individual,11,0,0,88,104112.2
Apple,iPhone 13,2019,6,512,5.5,4046,95,51,iOS,1,67813,2024,7,9.7,Fair,87,0,0,0,0,Tier3,Store,20,1,1,62,30814.43
Apple,iPhone 15,2019,8,64,6.15,4381,72,97,iOS,0,132472,2022,37,10.4,Excellent,90,0,0,0,0,Tier3,Store,0,0,1,93,77568.35
Samsung,Galaxy S21,2019,6,1024,6.89,6326,73,52,Android,1,22429,2025,36,11.0,Fair,57,0,0,0,0,Tier1,Individual,0,1,1,76,5839.33
Realme,Realme Narzo 60,2024,12,512,5.58,4312,52,93,Android,1,124774,2025,20,3.2,Good,99,0,0,0,0,Tier3,Store,7,0,1,60,48739.46
Realme,Realme GT,2019,6,512,6.03,5692,66,40,Android,1,57913,2025,53,3.8,Fair,75,1,0,0,0,Tier3,Store,0,1,0,51,5734.23
Apple,iPhone 14,2019,4,1024,6.22,6119,62,78,iOS,1,42629,2021,33,7.4,Poor,66,0,0,0,0,Tier2,Individual,4,1,1,54,2000.0
Google,Pixel 7,2025,6,256,6.16,5091,64,70,Android,1,49810,2025,55,10.6,Excellent,69,0,0,0,0,Tier2,Individual,8,1,1,54,8737.5
Xiaomi,Mi 11,2019,4,512,6.79,6366,61,76,Android,1,66860,2024,31,3.2,Good,63,0,0,0,0,Tier1,Store,16,1,0,84,18963.14
Xiaomi,Poco X5,2019,8,1024,5.56,3505,56,51,Android,1,106176,2022,57,10.6,Excellent,56,0,0,0,0,Tier2,Store,0,1,1,72,14719.5
Realme,Realme GT,2022,8,512,6.73,5614,51,89,Android,1,80355,2023,70,7.0,Poor,67,0,0,0,0,Tier3,Store,24,1,0,52,9417.35
Apple,iPhone 11,2024,6,64,6.12,3419,72,84,iOS,1,115150,2024,15,5.9,Excellent,98,0,0,0,0,Tier1,Store,14,1,1,84,97971.11
OnePlus,OnePlus 11,2023,4,128,5.81,4431,58,53,Android,0,121582,2024,10,12.0,Excellent,76,1,1,0,0,Tier1,Store,24,1,1,100,54947.97
Realme,Realme GT,2020,4,64,6.35,5045,64,63,Android,1,76378,2024,18,11.4,Fair,93,0,0,0,0,Tier3,Individual,15,1,1,96,37478.9
Xiaomi,Redmi Note 12,2020,16,128,6.2,3015,73,95,Android,1,66413,2020,68,6.6,Fair,75,0,0,0,0,Tier1,Individual,23,1,1,43,10653.63
Apple,iPhone 13,2020,4,256,6.8,3975,45,76,iOS,1,142920,2023,34,8.8,Poor,67,0,0,0,0,Tier3,Store,7,0,1,66,25006.13
Samsung,Galaxy A54,2023,6,512,6.61,4753,80,78,Android,0,86372,2023,42,2.4,Fair,62,0,0,0,0,Tier1,Individual,0,0,1,84,18665.8
OnePlus,OnePlus 11,2022,4,256,5.71,5003,87,95,Android,1,32347,2025,19,10.4,Good,76,0,0,1,0,Tier2,Individual,0,1,1,43,7172.24
OnePlus,Nord 3,2025,4,1024,6.44,3088,96,95,Android,1,34154,2025,12,6.3,Poor,94,0,0,0,0,Tier3,Store,24,1,1,41,10561.96
Google,Pixel 7,2024,4,512,6.29,4268,76,68,Android,1,146542,2025,30,10.1,Good,65,0,0,0,0,Tier3,Store,14,1,1,72,45480.36
Vivo,Vivo X90,2020,8,64,6.77,4491,88,72,Android,1,18162,2020,21,2.0,Good,89,0,0,0,0,Tier2,Store,3,1,1,87,6485.83
Realme,Realme Narzo 60,2022,12,512,5.53,3973,48,45,Android,1,101649,2023,35,11.9,Poor,66,0,1,0,0,Tier2,Store,0,0,1,58,10711.35
Vivo,Vivo X90,2020,12,1024,5.86,5445,98,71,Android,1,67933,2022,30,12.0,Fair,62,0,0,0,0,Tier1,Store,6,0,1,90,16703.34
Google,Pixel 7,2024,8,1024,6.82,5029,95,66,Android,1,111908,2024,55,6.9,Good,59,0,0,0,0,Tier1,Individual,14,1,1,94,28248.18
OnePlus,OnePlus 9,2023,12,512,6.57,4039,85,94,Android,0,17302,2023,17,8.3,Poor,90,0,0,0,0,Tier1,Store,7,1,1,50,7332.43
Samsung,Galaxy A54,2023,12,64,5.74,4320,67,72,Android,1,86641,2023,59,6.0,Good,71,0,0,0,0,Tier2,Store,2,0,1,91,26581.28
Realme,Realme Narzo 60,2019,8,512,5.63,5554,74,46,Android,1,139219,2025,71,2.3,Good,55,0,0,0,0,Tier3,Individual,0,1,1,80,15768.17
Xiaomi,Poco X5,2025,4,512,6.27,5679,64,43,Android,1,17338,2025,45,4.0,Excellent,62,0,0,0,0,Tier2,Store,6,0,1,45,4786.32
Xiaomi,Mi 11,2024,16,64,5.86,4386,49,70,Android,1,18517,2025,46,11.6,Good,100,0,0,0,0,Tier2,Individual,5,0,0,61,6695.63
OnePlus,Nord 3,2021,8,256,5.62,5883,69,58,Android,1,35468,2022,12,9.4,Excellent,68,0,0,0,0,Tier1,Individual,21,1,1,42,10748.47
Google,Pixel 7,2024,8,256,6.23,5391,55,97,Android,1,17317,2025,8,1.8,Excellent,91,0,0,0,0,Tier3,Individual,15,1,1,69,10699.03
Vivo,Vivo X90,2021,8,128,6.3,5100,63,87,Android,1,89551,2022,11,7.6,Poor,63,0,1,0,0,Tier2,Individual,7,0,1,65,18261.41
OnePlus,Nord 3,2025,8,512,6.01,4585,70,98,Android,1,72091,2025,11,5.9,Good,89,0,0,0,0,Tier3,Store,0,0,1,56,26526.52
Realme,Realme GT,2020,6,64,6.31,5471,97,46,Android,1,88900,2023,18,6.6,Fair,69,1,0,0,0,Tier1,Individual,10,0,1,88,20592.01
Samsung,Galaxy S21,2022,16,128,5.93,6000,99,72,Android,1,135509,2022,52,9.1,Excellent,70,0,0,0,0,Tier2,Individual,0,1,1,61,33859.48
Vivo,Vivo V27,2019,12,256,6.46,6351,72,70,Android,1,44341,2020,9,9.0,Good,71,0,0,0,0,Tier1,Individual,0,1,0,46,9742.62
OnePlus,OnePlus 10,2023,6,128,6.07,3998,41,94,Android,1,123971,2025,43,7.2,Fair,79,0,0,0,0,Tier2,Individual,6,1,1,93,38956.23
Realme,Realme GT,2021,8,64,5.74,5033,59,87,Android,1,111971,2024,17,7.3,Excellent,74,0,0,0,0,Tier2,Individual,0,1,1,51,29907.59
Apple,iPhone 11,2025,4,1024,6.71,4206,88,77,iOS,1,116727,2025,67,4.8,Good,60,0,0,1,0,Tier1,Store,0,1,1,100,25243.91
Vivo,Vivo X90,2024,12,64,5.89,3911,59,95,Android,1,18406,2025,65,11.8,Poor,83,0,0,0,0,Tier3,Individual,0,1,1,50,2000.0
Vivo,Vivo V27,2023,12,64,6.59,6095,78,70,Android,1,145659,2024,54,10.1,Fair,97,0,0,0,0,Tier2,Individual,0,1,1,57,21049.16
Vivo,Vivo X90,2025,8,512,6.28,5609,62,94,Android,0,54936,2025,69,9.0,Good,56,0,0,0,0,Tier1,Individual,0,1,1,79,8036.29
Google,Pixel 8,2021,12,512,5.79,4637,44,75,Android,1,36644,2024,65,5.7,Excellent,92,0,0,0,0,Tier2,Individual,4,1,1,79,14043.35
Realme,Realme Narzo 60,2019,6,64,5.96,5177,89,63,Android,1,68986,2024,69,1.8,Good,79,0,0,0,0,Tier2,Store,0,1,1,76,11246.42
OnePlus,OnePlus 10,2023,12,128,5.63,4241,87,63,Android,0,101894,2025,46,3.6,Poor,95,0,0,1,0,Tier1,Store,0,0,1,51,11070.79
Xiaomi,Poco X5,2025,8,1024,5.92,3059,45,45,Android,0,130682,2025,29,6.1,Good,62,0,0,0,0,Tier1,Store,0,1,1,93,44820.61
Samsung,Galaxy S22,2021,6,1024,5.75,4870,61,96,Android,1,91097,2023,9,2.0,Poor,71,0,1,1,0,Tier3,Store,2,1,1,48,12236.86
Realme,Realme Narzo 60,2021,16,512,6.34,3083,57,89,Android,1,50776,2025,2,2.6,Fair,64,0,0,1,0,Tier1,Individual,2,1,1,46,10216.99
Xiaomi,Poco X5,2021,4,64,6.2,4387,43,87,Android,0,138149,2025,56,10.2,Good,56,0,0,0,0,Tier1,Store,0,0,1,51,14042.81
OnePlus,OnePlus 9,2024,16,256,5.96,5092,44,81,Android,1,19226,2025,68,4.4,Good,98,0,0,0,0,Tier3,Individual,0,0,1,97,7011.39
Realme,Realme GT,2025,8,1024,6.2,4654,53,40,Android,1,148645,2025,39,4.6,Excellent,84,0,1,0,0,Tier2,Individual,23,0,1,98,51997.9
Realme,Realme GT,2019,12,1024,6.01,6392,42,53,Android,1,116370,2025,3,1.7,Good,99,0,0,1,0,Tier2,Individual,21,1,1,100,87525.6
Google,Pixel 6,2024,4,256,5.54,6068,54,65,Android,1,26711,2025,27,10.1,Good,95,0,0,0,0,Tier3,Individual,22,0,0,100,14109.81
Samsung,Galaxy S22,2021,16,64,6.93,6437,89,94,Android,1,56972,2023,15,10.8,Good,89,0,0,0,0,Tier2,Individual,11,1,1,40,17671.88
Apple,iPhone 13,2024,8,128,6.92,6449,53,46,iOS,1,45988,2025,66,10.0,Excellent,83,0,0,1,0,Tier2,Individual,0,1,0,92,13412.54
OnePlus,OnePlus 9,2022,4,128,6.51,3363,78,55,Android,0,147107,2024,21,10.9,Fair,61,0,0,0,0,Tier2,Individual,0,1,1,43,24071.53
OnePlus,OnePlus 10,2025,6,64,5.67,3132,83,81,Android,1,128675,2025,16,4.3,Good,56,0,1,0,0,Tier2,Store,24,0,1,98,47748.14
Xiaomi,Mi 11,2019,6,256,6.18,4994,60,63,Android,1,45973,2021,32,1.2,Excellent,79,0,0,0,0,Tier2,Individual,0,0,1,80,17853.91
OnePlus,OnePlus 9,2024,4,128,5.86,3020,42,59,Android,0,44711,2025,45,6.7,Fair,88,0,0,0,0,Tier3,Individual,20,1,1,54,7034.38
Google,Pixel 7,2020,8,128,6.17,5372,83,43,Android,1,51102,2024,52,5.1,Good,60,0,0,0,0,Tier1,Individual,0,0,1,52,5113.02
Apple,iPhone 11,2022,6,128,5.71,3035,99,44,iOS,1,141723,2023,24,6.8,Good,96,0,0,0,0,Tier2,Store,13,1,1,61,68817.3
Realme,Realme Narzo 60,2021,8,1024,6.56,3983,73,55,Android,1,55899,2022,6,7.8,Fair,88,0,0,0,0,Tier1,Store,0,1,1,93,24003.56
OnePlus,Nord 3,2025,6,64,6.23,5122,91,40,Android,1,127244,2025,62,10.8,Good,84,0,0,0,0,Tier2,Individual,0,1,1,67,27266.96
Samsung,Galaxy S23,2023,12,512,6.62,5548,48,73,Android,1,88959,2025,8,8.1,Fair,82,0,0,0,0,Tier1,Store,0,1,0,70,33567.25
Samsung,Galaxy S21,2025,12,512,5.86,3982,66,87,Android,1,90841,2025,56,3.4,Fair,86,0,0,0,0,Tier2,Store,0,0,1,56,15775.94
Apple,iPhone 15,2022,6,128,6.26,4705,77,86,iOS,1,102964,2022,32,9.0,Fair,55,0,1,0,0,Tier1,Store,0,1,1,40,12085.18
Realme,Realme Narzo 60,2019,16,256,5.59,5954,72,70,Android,1,27745,2020,49,10.5,Excellent,95,0,0,0,0,Tier1,Store,0,1,1,52,7009.66
Google,Pixel 8,2022,6,64,5.53,5419,67,69,Android,1,57258,2022,17,10.5,Good,82,0,0,0,0,Tier1,Individual,0,1,0,42,12420.04
Realme,Realme Narzo 60,2024,16,64,6.34,4407,48,44,Android,1,45327,2025,5,10.0,Poor,76,0,1,0,0,Tier3,Individual,0,1,1,50,5096.09
Google,Pixel 6,2019,12,128,6.81,5895,44,49,Android,1,133256,2025,44,5.3,Good,57,0,0,0,1,Tier1,Individual,1,0,1,48,13281.58
Google,Pixel 6,2020,12,64,5.83,5747,49,89,Android,1,58387,2022,37,2.4,Poor,92,0,0,0,1,Tier2,Store,2,1,1,50,5313.61
Apple,iPhone 12,2020,8,128,5.84,3993,62,75,iOS,1,114524,2025,61,2.5,Good,76,0,0,0,0,Tier1,Store,10,1,1,73,30583.93
Xiaomi,Poco X5,2021,12,128,6.06,5283,98,61,Android,1,106743,2021,29,8.5,Excellent,61,0,0,0,0,Tier1,Individual,0,1,1,51,19764.59
Realme,Realme Narzo 60,2025,12,64,6.05,5123,55,62,Android,1,39655,2025,27,6.5,Excellent,91,0,0,0,0,Tier1,Individual,0,1,1,59,15135.5
Realme,Realme Narzo 60,2023,8,128,6.4,5640,53,50,Android,0,79754,2025,17,8.2,Excellent,74,0,0,1,0,Tier2,Individual,17,1,1,89,38401.24
Samsung,Galaxy S22,2019,6,256,6.03,5237,83,80,Android,0,44179,2022,30,10.0,Fair,88,0,0,1,0,Tier2,Store,12,1,1,89,15437.0
Apple,iPhone 11,2019,4,64,6.72,4654,68,68,iOS,1,73963,2023,22,7.9,Fair,79,0,0,0,0,Tier3,Individual,3,1,1,77,30270.21
Vivo,Vivo X90,2024,12,64,5.93,5250,60,58,Android,1,71080,2024,43,8.4,Good,99,0,1,0,0,Tier3,Individual,14,1,1,71,18764.75
Apple,iPhone 11,2023,12,64,6.96,5714,40,95,iOS,1,47232,2025,48,3.0,Poor,94,0,0,0,0,Tier1,Store,0,0,1,90,13569.4
Apple,iPhone 11,2025,8,256,5.98,5267,55,73,iOS,1,55601,2025,54,6.1,Good,87,1,1,1,0,Tier1,Individual,0,1,0,42,7374.07
Realme,Realme GT,2020,16,128,5.55,5492,97,83,Android,1,22090,2023,4,4.3,Good,67,0,0,0,0,Tier2,Individual,23,1,1,64,10843.0
OnePlus,OnePlus 11,2024,4,128,6.28,3870,77,49,Android,1,15780,2024,27,2.9,Good,85,0,1,1,1,Tier3,Individual,23,1,1,73,7399.23
Samsung,Galaxy S21,2023,12,1024,5.78,4700,89,44,Android,1,67997,2025,63,5.4,Fair,95,0,1,0,0,Tier2,Store,0,1,1,67,12166.91
Samsung,Galaxy A54,2025,16,512,6.69,5018,69,43,Android,1,64941,2025,32,11.6,Fair,82,0,0,0,0,Tier2,Store,0,1,1,85,23515.05
Xiaomi,Poco X5,2023,16,1024,5.52,3299,95,92,Android,1,102295,2023,46,2.7,Excellent,100,1,0,0,0,Tier3,Individual,0,0,1,73,26137.84
Xiaomi,Redmi Note 12,2023,16,512,6.4,6453,85,99,Android,1,29162,2023,64,9.3,Poor,62,0,1,0,0,Tier3,Store,0,0,1,44,5049.63
Google,Pixel 8,2025,12,64,5.62,4726,40,90,Android,1,33179,2025,22,8.7,Fair,63,0,0,0,0,Tier3,Store,8,1,1,89,8524.8
Samsung,Galaxy S22,2024,6,128,6.04,4822,90,73,Android,1,73281,2025,51,2.7,Fair,67,0,0,0,0,Tier3,Store,0,0,1,69,12340.84
Google,Pixel 8,2024,16,64,5.53,4769,78,75,Android,1,136564,2024,26,6.6,Fair,68,0,0,0,0,Tier1,Individual,0,1,1,88,44865.71
Realme,Realme Narzo 60,2022,16,1024,6.92,5666,84,60,Android,1,125319,2023,21,11.6,Fair,65,0,0,0,0,Tier3,Store,19,1,0,92,40513.56
Samsung,Galaxy S23,2020,8,256,5.56,6149,48,63,Android,0,12286,2025,55,3.3,Excellent,76,0,0,0,0,Tier1,Individual,6,1,1,43,5466.91
Apple,iPhone 12,2019,8,256,5.68,5028,90,48,iOS,0,125581,2025,34,8.1,Fair,93,0,0,0,0,Tier1,Individual,0,1,1,75,53387.66
OnePlus,Nord 3,2025,4,256,6.64,5097,52,42,Android,0,60750,2025,65,11.3,Poor,65,0,0,0,0,Tier2,Individual,3,1,1,81,9601.02
Google,Pixel 8,2022,4,128,6.23,3370,91,53,Android,1,70063,2025,53,9.7,Fair,90,0,0,0,0,Tier1,Individual,19,1,1,67,19438.32
Samsung,Galaxy S23,2024,16,64,6.08,5834,41,69,Android,1,75432,2025,31,7.3,Poor,98,0,1,0,0,Tier3,Store,20,1,1,81,21645.84
Samsung,Galaxy A54,2022,4,256,6.68,4051,99,53,Android,1,108796,2025,21,7.1,Good,63,0,0,0,0,Tier1,Individual,14,0,1,48,28504.13
Realme,Realme Narzo 60,2022,8,512,6.15,4796,81,80,Android,1,46817,2023,57,7.3,Good,89,0,0,0,0,Tier1,Individual,0,1,1,93,12703.04
Samsung,Galaxy S22,2025,12,256,5.76,3846,86,84,Android,1,24236,2025,69,4.1,Fair,94,0,0,0,0,Tier2,Store,0,1,1,99,6911.87
Samsung,Galaxy S23,2024,6,256,5.64,5935,86,78,Android,1,117273,2025,30,11.1,Poor,81,0,0,0,0,Tier2,Individual,0,1,1,62,22706.22
Google,Pixel 7,2023,6,512,5.91,4713,51,59,Android,1,63901,2023,46,4.9,Excellent,89,0,0,1,0,Tier1,Store,9,0,1,52,16346.06
OnePlus,OnePlus 9,2021,16,1024,5.94,5812,48,59,Android,1,41510,2022,17,10.6,Fair,79,0,0,0,0,Tier3,Store,4,0,1,53,11623.52
Google,Pixel 7,2023,8,1024,5.85,4305,79,99,Android,1,68614,2025,41,1.1,Good,57,0,0,0,0,Tier2,Individual,0,1,1,58,12733.79
Google,Pixel 6,2022,16,512,5.97,5516,49,60,Android,1,97016,2024,6,6.3,Good,60,0,0,0,0,Tier2,Store,23,1,0,48,25634.37
Vivo,Vivo V27,2021,6,256,5.54,4387,63,85,Android,0,65126,2023,3,4.1,Poor,66,0,0,0,0,Tier3,Individual,4,0,1,48,13991.89
Google,Pixel 7,2023,16,64,5.96,5070,72,87,Android,1,65084,2023,34,3.9,Excellent,57,0,0,0,0,Tier3,Store,0,0,1,50,12187.7
Xiaomi,Redmi Note 12,2020,4,128,5.72,3045,90,41,Android,0,117859,2021,71,10.4,Good,73,0,0,0,0,Tier1,Store,5,1,1,73,21363.04
OnePlus,OnePlus 10,2021,16,512,6.66,4618,90,90,Android,0,56612,2023,33,8.2,Poor,58,0,0,1,0,Tier2,Individual,21,1,0,67,7722.3
Apple,iPhone 14,2022,16,1024,6.66,5814,79,67,iOS,1,130861,2022,17,11.3,Excellent,68,0,0,0,0,Tier1,Individual,13,1,1,90,76270.92
Realme,Realme Narzo 60,2021,12,64,5.94,5881,58,61,Android,1,29608,2022,35,9.5,Good,98,0,0,0,0,Tier2,Individual,5,0,1,60,6254.22
Vivo,Vivo X90,2022,6,1024,6.79,5011,100,70,Android,1,67323,2025,36,5.5,Good,77,0,0,0,0,Tier3,Store,0,1,0,59,12915.45
OnePlus,OnePlus 11,2020,16,128,5.78,3946,100,92,Android,0,104469,2023,20,2.1,Fair,67,0,0,1,1,Tier1,Individual,4,1,1,89,21841.42
Samsung,Galaxy S22,2024,4,512,5.89,6448,59,87,Android,0,70168,2025,5,10.1,Good,75,0,0,0,0,Tier3,Individual,0,1,1,87,42535.8
Vivo,Vivo V27,2023,4,256,5.7,4712,63,81,Android,1,104750,2025,54,2.8,Fair,78,0,0,1,0,Tier2,Individual,0,1,0,62,12731.43
Google,Pixel 6,2021,16,128,6.08,6438,97,79,Android,1,145664,2022,39,9.5,Poor,72,0,0,1,0,Tier2,Store,0,1,1,63,19461.83
Google,Pixel 6,2020,16,128,6.58,3125,49,54,Android,1,72353,2020,23,1.0,Fair,90,0,0,0,0,Tier3,Individual,0,1,1,71,29370.36
OnePlus,OnePlus 10,2019,8,256,5.56,5804,82,60,Android,1,27975,2025,8,1.3,Good,64,0,1,0,0,Tier3,Store,17,1,0,44,5461.1
OnePlus,Nord 3,2025,12,64,6.08,6141,82,50,Android,1,129925,2025,25,7.7,Good,86,0,0,0,0,Tier3,Individual,6,1,1,96,68265.29
Google,Pixel 7,2021,12,512,6.78,3913,78,75,Android,1,90025,2022,60,6.3,Fair,83,1,0,0,0,Tier1,Individual,0,1,1,85,12974.43
Samsung,Galaxy A54,2022,6,512,6.49,5607,81,96,Android,1,71395,2022,21,3.3,Excellent,91,0,0,0,0,Tier1,Individual,8,0,1,85,49623.24
Vivo,Vivo V27,2019,12,1024,6.65,4027,55,44,Android,1,63657,2025,71,3.1,Good,57,0,0,0,0,Tier2,Individual,6,1,1,69,10601.2
Vivo,Vivo V27,2022,12,1024,6.78,4100,55,99,Android,1,29849,2024,57,5.4,Good,86,0,0,0,0,Tier3,Store,13,1,1,61,7634.39
Xiaomi,Poco X5,2024,12,512,5.81,3187,53,44,Android,1,107898,2024,23,4.6,Good,86,0,1,1,0,Tier2,Individual,15,1,1,93,40932.26
Realme,Realme GT,2020,4,1024,6.55,4078,99,86,Android,1,39791,2023,2,4.0,Poor,56,0,0,0,0,Tier1,Store,23,1,1,90,8762.4
